# sample products file for CSCIE97 Assignments 3
#content_type, content_id, content_name, content_description, author, rating, categories, export_countries,supported_devices,price, supported_languages, image_url, application_size, ringtone_duration_in_seconds, wallpaper_pixel_width, wallpaper_pixel_height
application, angry_birds, Angry Birds, The survival of the Angry Birds is at stake. Dish out revenge on the greedy pigs who stole their eggs. Use the unique powers of each bird to destroy the pigs’ defenses. Angry Birds features challenging physics-based gameplay and hours of replay value. Each level requires logic\, skill\, and force to solve, Rovio, 5, game|kids,US|CA|MX,iphone_5|iphone_6|lumina_800,1.5,en_us|en_ca|en_gb, http://web-assets.angrybirds.com/abcom/img/games/223/Icon_download_seasons_223x223.png,564, , ,
application, angry_birds_seasons, Angry Birds Seasons, Angry Birds Seasons takes the captivating gameplay of the original to a whole new level! From Halloween to Chinese New Year\, the birds are celebrating different festive seasons around the world! , Rovio, 5, game|kids,US|CA|MX,iphone_5|iphone_6|lumina_800,1.5,en_us|en_ca|en_gb, http://web-assets.angrybirds.com/abcom/img/games/223/Icon_download_seasons_223x223.png,564, , ,
application, angry_birds_star_wars, Angry Birds Star Wars, A long time ago in a galaxy far\, far away... a group of desperate rebel birds faced off against a galactic menace: the Empire’s evil Pigtroopers!, Rovio, 5, game|kids,US|CA|MX,iphone_5|iphone_6|lumina_800,1.5,en_us|en_ca|en_gb, http://web-assets.angrybirds.com/abcom/img/games/223/Icon_download_seasons_223x223.png,564, , ,
ringtone, rt1, Ferrari 575M Maranello - 2002,This ringtone is a unique and exclusive recording of the 2002 Ferrari 575M Maranello being driven to its limits!,Nutbags,4,car|racing,US|CA|MX|AF|AL,lumina_800,0.0,en_us|en_ca|en_gb,http://p.d.ovi.com/p/g/store/1492679/_02_Ferrari_575M_Maranello-192x192.png, ,35.67, ,
wallpaper,zynga_poker_French_Canadian_wp,Zynga Poker,Zynga Poker wallpaper, Zynga,5, game|poker|gambling|casino,CA,droid_x|iphone_5|iphone_6,0,fr-CA,http://company.zynga.com/nfs/files-0123-01/styles/featured_game_hero_large/public/featured-games-380-226-zp-game-board-01.png?itok=w2YdRcRD, , ,256,256

# these are test items for use in testing the collection tree iterator
application, A, App A, Description of content item A, Content Author A, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, B, App B, Description of content item B, Content Author B, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, C, App C, Description of content item C, Content Author C, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, D, App D, Description of content item D, Content Author D, 5, iteratorTest|news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, E, App E, Description of content item E, Content Author E, 5, iteratorTest|news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, F, App F, Description of content item F, Content Author F, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, G, App G, Description of content item G, Content Author G, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, H, App H, Description of content item H, Content Author H, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, I, App I, Description of content item I, Content Author I, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, J, App J, Description of content item J, Content Author J, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,
application, K, App K, Description of content item K, Content Author K, 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, http://www.google.com/,5000, , ,

